uf_destino;cidade;macro_regiao;dfiscal;origem;uf_origem;distancia_txt;dist_value;duracao_txt;duracao_value;Status
AM;NHAMUNDÁ;AMAZONAS;AM 1303007;BELA VISTA DE GOIÁS;GO;0;0;0;0;ZERO_RESULTS
AM;PARINTINS;AMAZONAS;AM 1303403;BELA VISTA DE GOIÁS;GO;0;0;0;0;ZERO_RESULTS
AM;SÃO SEBASTIÃO DO UATUMÃ;AMAZONAS;AM 1303957;BELA VISTA DE GOIÁS;GO;0;0;0;0;ZERO_RESULTS
AM;URUCARÁ;AMAZONAS;AM 1304302;BELA VISTA DE GOIÁS;GO;0;0;0;0;ZERO_RESULTS
AM;BOCA DO ACRE;AMAZONAS;AM 1300706;BELA VISTA DE GOIÁS;GO;3.074 km;3074063;1 dia 17 horas;145802;OK
AM;PAUINI;AMAZONAS;AM 1303502;BELA VISTA DE GOIÁS;GO;0;0;0;0;ZERO_RESULTS
AM;CANUTAMA;AMAZONAS;AM 1300904;BELA VISTA DE GOIÁS;GO;0;0;0;0;ZERO_RESULTS
AM;LÁBREA;AMAZONAS;AM 1302405;BELA VISTA DE GOIÁS;GO;2.816 km;2816198;1 dia 13 horas;133186;OK
AM;TAPAUÁ;AMAZONAS;AM 1304104;BELA VISTA DE GOIÁS;GO;0;0;0;0;ZERO_RESULTS
AM;APUÍ;AMAZONAS;AM 1300144;BELA VISTA DE GOIÁS;GO;0;0;0;0;ZERO_RESULTS
AM;BORBA;AMAZONAS;AM 1300805;BELA VISTA DE GOIÁS;GO;0;0;0;0;ZERO_RESULTS
AM;HUMAITÁ;AMAZONAS;AM 1301704;BELA VISTA DE GOIÁS;GO;2.614 km;2614066;1 dia 10 horas;122651;OK
AM;MANICORÉ;AMAZONAS;AM 1302702;BELA VISTA DE GOIÁS;GO;3.056 km;3056381;1 dia 18 horas;152337;OK
AM;NOVO ARIPUANÃ;AMAZONAS;AM 1303304;BELA VISTA DE GOIÁS;GO;3.129 km;3129052;1 dia 18 horas;151242;OK
AP;CALÇOENE;AMAPÁ;AP 1600204;BELA VISTA DE GOIÁS;GO;0;0;0;0;ZERO_RESULTS
AP;OIAPOQUE;AMAPÁ;AP 1600501;BELA VISTA DE GOIÁS;GO;0;0;0;0;ZERO_RESULTS
AP;AMAPÁ;AMAPÁ;AP 1600105;BELA VISTA DE GOIÁS;GO;0;0;0;0;ZERO_RESULTS
AP;PRACUÚBA;AMAPÁ;AP 1600550;BELA VISTA DE GOIÁS;GO;0;0;0;0;ZERO_RESULTS
AP;TARTARUGALZINHO;AMAPÁ;AP 1600709;BELA VISTA DE GOIÁS;GO;0;0;0;0;ZERO_RESULTS
AP;SERRA DO NAVIO;AMAPÁ;AP 1600055;BELA VISTA DE GOIÁS;GO;0;0;0;0;ZERO_RESULTS
